step,vpp_id,action_index,center_ratio,width_ratio,guidance_strength_lambda,direction_absorb,direction_balanced,direction_inject
0,taiqu_vpp_0,0,0.20000000298023224,0.3499999940395355,1.0,1.0,0.0,0.0
0,taiqu_vpp_0,1,0.20000000298023224,0.3499999940395355,1.0,1.0,0.0,0.0
0,taiqu_vpp_0,2,0.20000000298023224,0.3499999940395355,1.0,1.0,0.0,0.0
1,taiqu_vpp_0,0,0.20000000298023224,0.3499999940395355,1.0,1.0,0.0,0.0
1,taiqu_vpp_0,1,0.20000000298023224,0.3499999940395355,1.0,1.0,0.0,0.0
1,taiqu_vpp_0,2,0.20000000298023224,0.3499999940395355,1.0,1.0,0.0,0.0
