step,time_label,vpp_id,fr_id,source_bid,source_policy,p_min_mw,p_max_mw,q_min_mvar,q_max_mvar,preferred_p_min_mw,preferred_p_max_mw,preferred_target_p_mw,service_request,price,grid_pressure_mode,ac_aware_grid_pressure_mode,grid_priority_over_price,network_min_vm_pu,network_max_vm_pu,network_max_line_loading_percent,network_max_trafo_loading_percent,pre_dispatch_powerflow_converged,pcc_vm_pu,bid_price_up,bid_price_down,confidence,dso_intent,fr_scope,bounds_by_scope,current_p_by_scope,preferred_target_by_scope,vector_doe_enabled,award_status,action_units,selected_network_objects,active_sensitivity_edges_shape,dso_actor_checkpoint_loaded,dso_actor_checkpoint_path,dso_actor_checkpoint_source,residual_rule_blend_enabled,residual_schedule_eta,residual_schedule_progress_step,warmstart_steps,residual_schedule_steps,sensitivity_cache_hit,sensitivity_source,sensitivity_cache_step,sensitivity_refresh_reasons,sensitivity_priority_action_units,sensitivity_partial_priority_refresh,sensitivity_partial_refresh_action_unit_ids,sensitivity_update_period_steps,sensitivity_cache_ttl_steps,sensitivity_confidence,sensitivity_allocation_mode,sensitivity_allocation_weights,dso_actor_raw_outputs,decoded_operating_envelope,direction_probs,guidance_strength_lambda
0,00.00 h,taiqu_vpp_0,fr_taiqu_vpp_0_0_bus_vector,vpp_day_ahead_bid,sensitivity_attention_v1,-0.13,0.05,-0.1,0.1,-0.12549999892711639,-0.0625,-0.0939999994635582,sensitivity_attention_guidance,45.0,sensitivity_attention_v1,sensitivity_attention_v1_post_ac_required,True,0.9890824727052316,1.02,25.43110840653517,29.310164369273007,True,,55.0,35.0,0.75,sensitivity_attention_v1_trainable_guidance_inside_fr_doe,bus_vector,"{'bus_3': {'p_min_mw': 0.0, 'p_max_mw': 0.0, 'q_min_mvar': -0.1, 'q_max_mvar': 0.1}, 'bus_4': {'p_min_mw': -0.05, 'p_max_mw': 0.05, 'q_min_mvar': 0.0, 'q_max_mvar': 0.0}, 'bus_5': {'p_min_mw': -0.08, 'p_max_mw': 0.0, 'q_min_mvar': 0.0, 'q_max_mvar': 0.0}}","{'bus_3': 0.0, 'bus_4': 0.0, 'bus_5': 0.0}","{'bus_3': 0.0, 'bus_4': -0.029999999701976778, 'bus_5': -0.06399999976158142}",True,envelope_guidance,"['taiqu_vpp_0:vpp_bus:bus_3', 'taiqu_vpp_0:vpp_bus:bus_4', 'taiqu_vpp_0:vpp_bus:bus_5']","['bus_4', 'bus_3', 'bus_0', 'bus_1', 'line_2', 'line_1', 'trafo_0']","(12, 8, 9)",False,,random_initialization,True,0.0,0,20000,50000,False,finite_difference_recomputed,0,"('cache_empty',)","('taiqu_vpp_0:vpp_bus:bus_4', 'taiqu_vpp_0:vpp_bus:bus_5', 'taiqu_vpp_0:vpp_bus:bus_3')",False,(),4,8,0.75,equal_pp_element_refs,"{'taiqu_vpp_0:vpp_bus:bus_3': {'sgen:0': 1.0}, 'taiqu_vpp_0:vpp_bus:bus_4': {'storage:0': 1.0}, 'taiqu_vpp_0:vpp_bus:bus_5': {'load:6': 1.0}}","{'center_ratio': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], 'width_ratio': [0.3499999940395355, 0.3499999940395355, 0.3499999940395355], 'guidance_strength': [1.0, 1.0, 1.0]}","[{'action_unit_id': 'taiqu_vpp_0:vpp_bus:bus_3', 'vpp_id': 'taiqu_vpp_0', 'pcc_id': 'pcc_3', 'bus_id': 3, 'p_hard_min_mw': 0.0, 'p_hard_max_mw': 0.0, 'p_pref_lo_mw': 0.0, 'p_pref_target_mw': 0.0, 'p_pref_hi_mw': 0.0, 'direction_probs': (1.0, 0.0, 0.0), 'guidance_strength_lambda': 1.0, 'award_status': 'envelope_guidance', 'source': 'sensitivity_attention_v1'}, {'action_unit_id': 'taiqu_vpp_0:vpp_bus:bus_4', 'vpp_id': 'taiqu_vpp_0', 'pcc_id': 'pcc_3', 'bus_id': 4, 'p_hard_min_mw': -0.05, 'p_hard_max_mw': 0.05, 'p_pref_lo_mw': -0.04749999940395355, 'p_pref_target_mw': -0.029999999701976778, 'p_pref_hi_mw': -0.0125, 'direction_probs': (1.0, 0.0, 0.0), 'guidance_strength_lambda': 1.0, 'award_status': 'envelope_guidance', 'source': 'sensitivity_attention_v1'}, {'action_unit_id': 'taiqu_vpp_0:vpp_bus:bus_5', 'vpp_id': 'taiqu_vpp_0', 'pcc_id': 'pcc_3', 'bus_id': 5, 'p_hard_min_mw': -0.08, 'p_hard_max_mw': 0.0, 'p_pref_lo_mw': -0.07799999952316285, 'p_pref_target_mw': -0.06399999976158142, 'p_pref_hi_mw': -0.05, 'direction_probs': (1.0, 0.0, 0.0), 'guidance_strength_lambda': 1.0, 'award_status': 'envelope_guidance', 'source': 'sensitivity_attention_v1'}]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]",1.0
1,00.25 h,taiqu_vpp_0,fr_taiqu_vpp_0_1_bus_vector,vpp_day_ahead_bid,sensitivity_attention_v1,-0.13,0.05,-0.1,0.1,-0.12549999892711639,-0.0625,-0.0939999994635582,sensitivity_attention_guidance,42.0,sensitivity_attention_v1,sensitivity_attention_v1_post_ac_required,True,0.9658272190946121,1.02,42.35383346027238,43.529809004127024,True,,55.253846135277016,35.253846135277016,1.0,sensitivity_attention_v1_trainable_guidance_inside_fr_doe,bus_vector,"{'bus_3': {'p_min_mw': 0.0, 'p_max_mw': 0.0, 'q_min_mvar': -0.1, 'q_max_mvar': 0.1}, 'bus_4': {'p_min_mw': -0.05, 'p_max_mw': 0.05, 'q_min_mvar': 0.0, 'q_max_mvar': 0.0}, 'bus_5': {'p_min_mw': -0.08, 'p_max_mw': 0.0, 'q_min_mvar': 0.0, 'q_max_mvar': 0.0}}","{'bus_3': 0.0, 'bus_4': -0.036153845947522384, 'bus_5': -0.057846153516035816}","{'bus_3': 0.0, 'bus_4': -0.029999999701976778, 'bus_5': -0.06399999976158142}",True,envelope_guidance,"['taiqu_vpp_0:vpp_bus:bus_3', 'taiqu_vpp_0:vpp_bus:bus_4', 'taiqu_vpp_0:vpp_bus:bus_5']","['bus_5', 'bus_4', 'bus_0', 'bus_1', 'line_2', 'line_3', 'trafo_0']","(12, 8, 9)",False,,random_initialization,True,0.0,1,20000,50000,False,finite_difference_recomputed,1,"('missing_network_objects', 'voltage_delta', 'loading_delta')","('taiqu_vpp_0:vpp_bus:bus_4', 'taiqu_vpp_0:vpp_bus:bus_5', 'taiqu_vpp_0:vpp_bus:bus_3')",False,(),4,8,1.0,equal_pp_element_refs,"{'taiqu_vpp_0:vpp_bus:bus_3': {'sgen:0': 1.0}, 'taiqu_vpp_0:vpp_bus:bus_4': {'storage:0': 1.0}, 'taiqu_vpp_0:vpp_bus:bus_5': {'load:6': 1.0}}","{'center_ratio': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], 'width_ratio': [0.3499999940395355, 0.3499999940395355, 0.3499999940395355], 'guidance_strength': [1.0, 1.0, 1.0]}","[{'action_unit_id': 'taiqu_vpp_0:vpp_bus:bus_3', 'vpp_id': 'taiqu_vpp_0', 'pcc_id': 'pcc_3', 'bus_id': 3, 'p_hard_min_mw': 0.0, 'p_hard_max_mw': 0.0, 'p_pref_lo_mw': 0.0, 'p_pref_target_mw': 0.0, 'p_pref_hi_mw': 0.0, 'direction_probs': (1.0, 0.0, 0.0), 'guidance_strength_lambda': 1.0, 'award_status': 'envelope_guidance', 'source': 'sensitivity_attention_v1'}, {'action_unit_id': 'taiqu_vpp_0:vpp_bus:bus_4', 'vpp_id': 'taiqu_vpp_0', 'pcc_id': 'pcc_3', 'bus_id': 4, 'p_hard_min_mw': -0.05, 'p_hard_max_mw': 0.05, 'p_pref_lo_mw': -0.04749999940395355, 'p_pref_target_mw': -0.029999999701976778, 'p_pref_hi_mw': -0.0125, 'direction_probs': (1.0, 0.0, 0.0), 'guidance_strength_lambda': 1.0, 'award_status': 'envelope_guidance', 'source': 'sensitivity_attention_v1'}, {'action_unit_id': 'taiqu_vpp_0:vpp_bus:bus_5', 'vpp_id': 'taiqu_vpp_0', 'pcc_id': 'pcc_3', 'bus_id': 5, 'p_hard_min_mw': -0.08, 'p_hard_max_mw': 0.0, 'p_pref_lo_mw': -0.07799999952316285, 'p_pref_target_mw': -0.06399999976158142, 'p_pref_hi_mw': -0.05, 'direction_probs': (1.0, 0.0, 0.0), 'guidance_strength_lambda': 1.0, 'award_status': 'envelope_guidance', 'source': 'sensitivity_attention_v1'}]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]",1.0
